url,price,area,floor,metro,time_to_metro_minutes,finish,renovation,house_type,parking,date
https://www.cian.ru/sale/flat/324055842/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,30568833,85.81,4 из 28,Нижегородская,12,1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/325024315/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,82000000,73.0,4 из 6,Чистые пруды,11,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/323518366/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,33469759,79.9,47 из 53,Ботанический сад,11,1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/322851177/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,139678350,97.1,38 из 90,Деловой центр,4,1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/325201019/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,430000000,286.2,10 из 11,Курская,12,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/317410374/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,190000000,117.0,12 из 12,Пушкинская,11,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/324866455/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,41811246,35.73,2 из 14,Киевская,6,-1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/324312762/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,145000000,128.2,18 из 32,Парк Победы,17,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/326295857/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,310000000,186.5,2 из 13,Спортивная,6,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/325189861/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,26440286,36.2,4 из 43,Павелецкая,14,1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/323163077/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,150000000,147.0,2 из 5,Курская,9,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/321909096/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,358451140,150.0,2 из 6,Парк Культуры,10,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/325691134/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,42697775,64.5,7 из 26,Фили,24,-1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/326072369/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,340000000,128.9,5 из 6,Кропоткинская,8,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/325945632/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,82500000,89.0,10 из 37,Аэропорт,13,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/320305738/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,53592000,113.4,14 из 29,Тушинская,5,1,-1,3,2,2026-01-29
https://www.cian.ru/sale/flat/314446922/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,79000000,74.0,4 из 13,Маяковская,6,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/325364870/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,38360000,54.8,2 из 4,Цветной бульвар,9,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/324560223/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,30521400,32.04,2 из 27,Белорусская,19,1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/324952327/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,78000000,105.6,23 из 76,Деловой центр,3,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/325364589/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,72617500,93.7,2 из 4,Цветной бульвар,9,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/309288293/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,48144150,74.7,2 из 13,Спартак,12,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/321232908/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,474000000,380.0,7 из 7,Таганская,4,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/325411040/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,25201868,58.6,11 из 20,Водный стадион,25,-1,-1,0,2,2026-01-29
https://www.cian.ru/sale/flat/322684357/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,74240000,51.2,4 из 15,Ломоносовский проспект,8,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/321143239/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,150000000,117.2,2 из 7,Полянка,7,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/326003348/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,75000000,83.1,2 из 41,ЦСКА,13,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/323678703/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,74457000,92.88,16 из 27,Крылатское,21,0,-1,3,2,2026-01-29
https://www.cian.ru/sale/flat/321608100/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,230000000,168.4,5 из 7,Полянка,7,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/324806377/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,28500000,44.0,9 из 19,Красные ворота,7,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/323465052/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,31212073,50.36,3 из 25,Серебряный Бор,-1,-1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/321289404/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,170825500,135.0,4 из 7,Полянка,7,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/325721079/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,65000000,68.0,19 из 36,Петровский Парк,16,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/323506976/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,135720900,150.3,6 из 14,Мичуринский проспект,11,-1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/324927839/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,150000000,147.0,2 из 5,Курская,9,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/326290018/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,141100000,128.4,3 из 17,Достоевская,9,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/326135498/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,26277490,42.0,18 из 35,Давыдково,13,-1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/321510014/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,185110000,140.7,3 из 7,Полянка,7,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/320949320/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,519700000,210.0,3 из 4,Театральная,7,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/324141153/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,379843200,145.2,2 из 8,Арбатская,3,2,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/325146249/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,250000000,148.0,9 из 11,Фрунзенская,16,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/325165591/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,95000000,133.4,4 из 8,Смоленская,3,-1,2,0,0,2026-01-29
https://www.cian.ru/sale/flat/320332870/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,25500000,31.6,6 из 8,Ленинский проспект,14,2,-1,0,2,2026-01-29
https://www.cian.ru/sale/flat/323234117/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,22608082,62.4,13 из 30,Окская,15,-1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/324141169/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,281295000,114.0,3 из 8,Арбатская,3,2,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/324169850/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,78000000,92.0,10 из 14,Минская,15,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/324710873/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,74239110,127.1,38 из 45,Калужская,8,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/318768232/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,210000000,156.2,2 из 6,Полянка,6,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/321435317/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,207601000,78.34,3 из 7,Арбатская,4,1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/321554844/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,43000000,51.0,31 из 68,Москва-Сити,4,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/320636620/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,27331863,55.5,12 из 13,Аминьевская,24,-1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/317712369/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,527240000,188.0,3 из 7,Лубянка,1,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/325365508/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,22837500,35.0,4 из 18,Спартак,17,1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/323128703/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,29836800,50.4,4 из 12,Преображенская площадь,4,-1,-1,3,2,2026-01-29
https://www.cian.ru/sale/flat/322884883/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,19668558,26.0,16 из 19,Петровский Парк,16,-1,-1,3,2,2026-01-29
https://www.cian.ru/sale/flat/322905735/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,127000000,156.1,3 из 3,Чеховская,5,-1,1,0,0,2026-01-29
https://www.cian.ru/sale/flat/325755204/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,43190538,61.1,25 из 35,Давыдково,9,-1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/325879389/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,116500000,111.0,23 из 41,Аэропорт,13,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/326057465/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,79806000,60.0,3 из 19,Новослободская,3,-1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/325515289/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,15126906,46.5,4 из 13,Кожуховская,13,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/320394796/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,35629765,60.22,13 из 46,Хорошёво,8,-1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/324891352/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,148000000,130.0,2 из 7,Киевская,16,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/324824019/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,710781750,276.3,3 из 8,Арбатская,3,2,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/324605197/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,430000000,183.0,2 из 13,Фрунзенская,14,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/320394825/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,55339629,84.09,2 из 46,Хорошёво,8,-1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/326319295/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,150000000,158.3,26 из 36,ЦСКА,11,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/319316323/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,31191600,41.7,7 из 8,Ленинский проспект,14,1,-1,0,2,2026-01-29
